filename, exit status
428_1351.txt, 0
428_998.txt, 0
428_998.txt, 0
397_205.txt, 1
397_205.txt, 1
242_147.txt, 1
242_147.txt, 1
242_184.txt, 1
242_184.txt, 1
825_105.txt, 1
825_105.txt, 1
298_25.txt, 1
298_25.txt, 1
398_25.txt, 1
398_25.txt, 1
572_206.txt, 1
572_206.txt, 1
851_381.txt, 1
217_197.txt, 0
217_197.txt, 0
218_270.txt, 1
218_270.txt, 1
217_141.txt, 1
217_196.txt, 0
217_196.txt, 0
379_27.txt, 1
379_27.txt, 1
397_199.txt, 1
397_199.txt, 1
242_185.txt, 1
802_2.txt, 0
809_58.txt, 0
308_27.txt, 0
308_27.txt, 0
397_61.txt, 1
397_61.txt, 1
183_1696.txt, 1
183_1696.txt, 1
135_816.txt, 1
135_816.txt, 1
428_1350.txt, 1
572_373.txt, 0
572_373.txt, 0
243_155.txt, 1
851_235.txt, 0
851_235.txt, 0
397_212.txt, 1
397_212.txt, 1
9_75.txt, 1
9_138.txt, 0
9_138.txt, 0
231_1587.txt, 1
231_1587.txt, 1
661_66.txt, 1
661_66.txt, 1
397_164.txt, 1
397_164.txt, 1
295_99.txt, 1
806_4.txt, 0
806_4.txt, 0
380_124.txt, 1
380_124.txt, 1
728_76.txt, 1
728_76.txt, 1
217_142.txt, 1
217_142.txt, 1
217_195.txt, 1
806_5.txt, 0
806_5.txt, 0
839_2642.txt, 1
135_57.txt, 0
135_57.txt, 0
543_508.txt, 1
543_508.txt, 1
768_224.txt, 1
768_224.txt, 1
311_11.txt, 1
311_11.txt, 1
242_186.txt, 1
242_186.txt, 1
242_151.txt, 1
242_151.txt, 1
397_207.txt, 1
308_24.txt, 0
308_24.txt, 0
240_4.txt, 1
240_4.txt, 1
572_1051.txt, 1
572_1051.txt, 1
426_856.txt, 1
426_856.txt, 1
353_245.txt, 1
353_245.txt, 1
397_203.txt, 1
397_203.txt, 1
242_141.txt, 1
242_141.txt, 1
318_25.txt, 1
242_196.txt, 0
465_182.txt, 0
465_182.txt, 0
428_1551.txt, 1
428_1551.txt, 1
217_185.txt, 1
256_14.txt, 0
256_14.txt, 0
428_801.txt, 1
428_801.txt, 1
716_6.txt, 1
716_6.txt, 1
217_147.txt, 1
428_1236.txt, 0
428_1236.txt, 0
217_184.txt, 1
217_184.txt, 1
288_794.txt, 1
242_197.txt, 0
242_197.txt, 0
490_4.txt, 1
459_21.txt, 0
459_21.txt, 0
397_216.txt, 1
397_216.txt, 1
397_200.txt, 1
397_200.txt, 1
490_6.txt, 1
490_6.txt, 1
242_142.txt, 1
242_142.txt, 1
242_195.txt, 1
504_46.txt, 0
504_46.txt, 0
121_25.txt, 1
121_25.txt, 1
217_186.txt, 1
217_186.txt, 1
506_9.txt, 1
506_9.txt, 1
217_151.txt, 1
217_151.txt, 1
705_304.txt, 1
705_304.txt, 1
705_310.txt, 1
705_310.txt, 1
702_146.txt, 1
702_146.txt, 1
9_507.txt, 1
9_507.txt, 1
806_3.txt, 1
806_3.txt, 1
380_123.txt, 1
380_123.txt, 1
415_330.txt, 1
